"","data","sta","x","y","BPC"
"19159","RSMP","RSMP11645",0.20798,53.59093,41.8055979174404
"19160","RSMP","RSMP20839",1.67779,53.59096,149.325385923623
"19161","RSMP","RSMP20957",1.68152,53.59098,387.765557220551
"19162","RSMP","RSMP20933",1.68067,53.591,137.681944932665
"19163","RSMP","RSMP20749",1.66688,53.59104,234.974010944043
"19164","RSMP","RSMP20800",1.67407,53.59108,912.529327309728
"19165","RSMP","RSMP20949",1.68106,53.59108,178.237956149902
"19166","RSMP","RSMP20834",1.6774,53.5911,130.007625404852
"19167","RSMP","RSMP20798",1.67399,53.59114,31799.4983447102
"19168","RSMP","RSMP20793",1.67356,53.59115,829.164964423565
