"","data","sta","x","y","TotalDens"
"12601","RSMP","RSMP22279",1.86947,51.9785,2330
"12602","RSMP","RSMP23481",1.97948,51.97901,1960
"12603","RSMP","RSMP21318",1.73231,51.97986,3360
"12604","RSMP","RSMP22228",1.86267,51.98039,1780
"12605","RSMP","RSMP21048",1.68982,51.98049,500
"12606","RSMP","RSMP21734",1.79144,51.98119,3440
"12607","RSMP","RSMP19479",1.4823,51.9813,420
"12608","RSMP","RSMP25511",2.2637,51.98147,500
"12609","RSMP","RSMP21352",1.73653,51.98153,14040
"12610","RSMP","RSMP19276",1.42565,51.98157,7400
"12611","RSMP","RSMP22342",1.87331,51.98157,1250
"12612","RSMP","RSMP19181",1.39498,51.98224,11500
"12613","RSMP","RSMP21154",1.70663,51.98247,5900
"12614","RSMP","RSMP21547",1.7673,51.98249,9390
"12615","RSMP","RSMP21812",1.80199,51.98259,4640
"12616","RSMP","RSMP21660",1.78286,51.98264,9480
"12617","RSMP","RSMP21221",1.71949,51.9833,8920
"12618","RSMP","RSMP20811",1.67579,51.98355,52320
"12619","RSMP","RSMP22276",1.86865,51.9836,2810
"12620","RSMP","RSMP21087",1.6941,51.98365,710
"12621","RSMP","RSMP21588",1.77388,51.98382,21590
"12622","RSMP","RSMP21534",1.76471,51.98456,30280
"12623","RSMP","RSMP21416",1.74667,51.98495,2310
"12624","RSMP","RSMP21495",1.75842,51.9855,1750
"12625","RSMP","RSMP22427",1.88093,51.98575,8630
"12626","RSMP","RSMP22235",1.86327,51.98649,3210
"12627","RSMP","RSMP21676",1.78598,51.98804,3890
"12628","RSMP","RSMP940",-5.88119,51.98822,7310
"12629","RSMP","RSMP21002",1.68492,51.9887,3610
"12630","RSMP","RSMP19731",1.52487,51.9894,180
