"","data","sta","x","y","AFDW_S"
"81","HELCOM","HELCOM171",13.4181,55.22468333,NA
"82","HELCOM","HELCOM172",13.41816667,55.22466667,0.00417910447761194
"83","HELCOM","HELCOM173",13.4182,55.2246,NA
"84","HELCOM","HELCOM174",13.4184,55.22455,NA
"85","HELCOM","HELCOM175",13.4998,55.2501,0.00029473311135361
"86","HELCOM","HELCOM176",13.5,55.25011667,0.000255598424368898
"87","HELCOM","HELCOM177",13.5,55.25016667,NA
"88","HELCOM","HELCOM178",13.50003333,55.25003333,NA
"89","HELCOM","HELCOM179",13.50018333,55.24988333,NA
"90","HELCOM","HELCOM18",9.78211667,54.97871667,5.59699447729167
"91","HELCOM","HELCOM180",13.63348333,55.225,NA
"92","HELCOM","HELCOM181",13.63348333,55.22503333,NA
"93","HELCOM","HELCOM182",13.6335,55.22516667,NA
"94","HELCOM","HELCOM183",13.63358333,55.225,NA
"95","HELCOM","HELCOM184",13.63378333,55.22488333,NA
"96","HELCOM","HELCOM185",13.66636667,55.13358333,NA
"97","HELCOM","HELCOM186",13.66638333,55.133,NA
"98","HELCOM","HELCOM187",13.6665,55.13333333,NA
"99","HELCOM","HELCOM188",13.6666,55.13328333,NA
"100","HELCOM","HELCOM189",13.66665,55.13341667,NA
"101","HELCOM","HELCOM19",9.80643333,55.13905,23.5129712829685
"102","HELCOM","HELCOM190",14.0833,55,NA
"103","HELCOM","HELCOM191",14.32593333,54.84083333,0.562591045803264
"104","HELCOM","HELCOM192",15.7,55.96616667,0.00417910447761194
"105","HELCOM","HELCOM193",15.7001,55.96608333,NA
"106","HELCOM","HELCOM194",15.7001,55.9662,NA
"107","HELCOM","HELCOM195",15.70015,55.96616667,NA
"108","HELCOM","HELCOM196",15.71333333,55.97483333,0.00417910447761194
"109","HELCOM","HELCOM197",15.72358333,55.97938333,0.346865671641792
"110","HELCOM","HELCOM198",15.72526667,55.97933333,0.948247422680411
"111","HELCOM","HELCOM199",15.72528333,55.97935,0.238406639004149
"112","HELCOM","HELCOM2",8.40651667,56.61253333,643.014234552543
"113","HELCOM","HELCOM20",9.82208333,54.84033333,2.02232724855278
"114","HELCOM","HELCOM200",15.72541667,55.75005,0.129659751037344
"115","HELCOM","HELCOM201",15.7256,55.7498,0.106567164179104
"116","HELCOM","HELCOM202",15.72566667,55.75,0.00835820895522388
"117","HELCOM","HELCOM203",15.72568333,55.7498,0.0877611940298508
"118","HELCOM","HELCOM204",15.72593333,55.75,0.0389690721649485
"119","HELCOM","HELCOM205",15.7268,55.8824,0.0313692946058092
"120","HELCOM","HELCOM206",15.72683333,55.88233333,0.0125373134328358
"121","HELCOM","HELCOM207",15.7269,55.8823,0.198507462686567
"122","HELCOM","HELCOM208",15.72693333,55.88231667,0.00649484536082475
"123","HELCOM","HELCOM209",15.77258333,55.85701667,0.21
"124","HELCOM","HELCOM21",9.85353333,56.6453,5.53609859335657
"125","HELCOM","HELCOM210",15.7726,55.85683333,0.0313692946058092
"126","HELCOM","HELCOM211",15.7728,55.85698333,0.252835820895523
"127","HELCOM","HELCOM212",15.77283333,55.857,0.102388059701493
"128","HELCOM","HELCOM213",15.77288333,55.8569,0.0459701492537314
"129","HELCOM","HELCOM214",15.79695,55.83291667,NA
"130","HELCOM","HELCOM215",15.79723333,55.83283333,0.00432989690721648
"131","HELCOM","HELCOM216",15.79728333,55.83298333,0.00208955223880597
