"","data","sta","x","y","AFDW"
"27526","SHARK","SHARK839",15.525,56.145,21.1046736097092
"27527","ODAM","ODAM1179",10.251,56.1454,48.020367619679
"27528","SHARK","SHARK518",14.6857,56.1455,19.1822819733448
"27529","SHARK","SHARK528",14.6862,56.1455,367.525120597702
"27530","SHARK","SHARK521",14.6859,56.1456,361.243570028745
"27531","SHARK","SHARK524",14.686,56.1456,143.773365469693
"27532","SHARK","SHARK526",14.6861,56.1456,416.378176614341
"27533","SHARK","SHARK529",14.6862,56.1456,240.610471603708
"27534","SHARK","SHARK531",14.6863,56.1456,252.824994752823
"27535","SHARK","SHARK519",14.6857,56.1457,305.317401885317
"27536","SHARK","SHARK522",14.6859,56.1457,273.640211096291
"27537","SHARK","SHARK525",14.686,56.1457,251.711722543157
"27538","SHARK","SHARK527",14.6861,56.1457,253.772555451459
"27539","SHARK","SHARK530",14.6862,56.1457,152.62882468202
"27540","SHARK","SHARK520",14.6857,56.1458,106.646005606701
"27541","SHARK","SHARK523",14.6859,56.1458,109.402357297622
"27542","SHARK","SHARK942",15.6409,56.1463,113.364572122242
"27543","SHARK","SHARK943",15.6411,56.1463,208.077705481069
"27544","SHARK","SHARK725",15.0944,56.1466,27.517222963861
"27545","SHARK","SHARK637",14.8192,56.1468,6.23097206436964
"27546","ODAM","ODAM1740",10.5792,56.1469,32.3573572488445
"27547","SHARK","SHARK634",14.8191,56.1469,19.1434171706397
"27548","SHARK","SHARK638",14.8193,56.1469,32.3118212368241
"27549","SHARK","SHARK642",14.8196,56.1469,28.6758259051053
"27550","SHARK","SHARK643",14.8197,56.1469,11.687189574061
"27551","SHARK","SHARK633",14.819,56.147,21.2082255440975
"27552","SHARK","SHARK635",14.8191,56.147,20.5211880481986
"27553","SHARK","SHARK639",14.8193,56.147,9.01393072523335
"27554","SHARK","SHARK810",15.483,56.147,29.3557139657459
"27555","SHARK","SHARK517",14.6848,56.1471,29.2598110137413
"27556","SHARK","SHARK632",14.8124,56.1471,19.4113014381086
"27557","SHARK","SHARK636",14.8191,56.1471,33.7334263435443
"27558","SHARK","SHARK640",14.8193,56.1471,23.2279425020746
"27559","SHARK","SHARK644",14.8221,56.1471,18.6446824084613
"27560","ODAM","ODAM1520",10.455,56.1472,9.51979598744043
"27561","SHARK","SHARK645",14.8221,56.1472,16.5117169797256
"27562","SHARK","SHARK641",14.8194,56.1474,5.11057407337071
"27563","SHARK","SHARK676",14.9124,56.1474,14.3778488205792
"27564","SHARK","SHARK654",14.8674,56.148,18.8238909518231
"27565","SHARK","SHARK751",15.2554,56.148,33.732375421638
"27566","SHARK","SHARK944",15.6438,56.148,19.1386036210681
