"","data","sta","x","y","AFDW_Omni"
"80","HELCOM","HELCOM170",13.4181,55.22465,0.0062013203768265
"81","HELCOM","HELCOM171",13.4181,55.22468333,0.00461538461538451
"82","HELCOM","HELCOM172",13.41816667,55.22466667,NA
"83","HELCOM","HELCOM173",13.4182,55.2246,0.00461538461538451
"84","HELCOM","HELCOM174",13.4184,55.22455,0.00615384615384601
"85","HELCOM","HELCOM175",13.4998,55.2501,NA
"86","HELCOM","HELCOM176",13.5,55.25011667,NA
"87","HELCOM","HELCOM177",13.5,55.25016667,0.00133307819874981
"88","HELCOM","HELCOM178",13.50003333,55.25003333,0.00134647596959152
"89","HELCOM","HELCOM179",13.50018333,55.24988333,0.00533231279499923
"90","HELCOM","HELCOM18",9.78211667,54.97871667,NA
"91","HELCOM","HELCOM180",13.63348333,55.225,NA
"92","HELCOM","HELCOM181",13.63348333,55.22503333,NA
"93","HELCOM","HELCOM182",13.6335,55.22516667,NA
"94","HELCOM","HELCOM183",13.63358333,55.225,NA
"95","HELCOM","HELCOM184",13.63378333,55.22488333,NA
"96","HELCOM","HELCOM185",13.66636667,55.13358333,NA
"97","HELCOM","HELCOM186",13.66638333,55.133,NA
"98","HELCOM","HELCOM187",13.6665,55.13333333,NA
"99","HELCOM","HELCOM188",13.6666,55.13328333,NA
"100","HELCOM","HELCOM189",13.66665,55.13341667,NA
"101","HELCOM","HELCOM19",9.80643333,55.13905,14.086004494386
"102","HELCOM","HELCOM190",14.0833,55,NA
"103","HELCOM","HELCOM191",14.32593333,54.84083333,208.625739692173
"104","HELCOM","HELCOM192",15.7,55.96616667,0.0959816303099862
"105","HELCOM","HELCOM193",15.7001,55.96608333,0.0468398326895776
"106","HELCOM","HELCOM194",15.7001,55.9662,0.0359931113662448
"107","HELCOM","HELCOM195",15.70015,55.96616667,0.0893903606766656
"108","HELCOM","HELCOM196",15.71333333,55.97483333,1.41393017139286
"109","HELCOM","HELCOM197",15.72358333,55.97938333,0.784950160323291
"110","HELCOM","HELCOM198",15.72526667,55.97933333,3.0845885840731
"111","HELCOM","HELCOM199",15.72528333,55.97935,0.142757740185123
"112","HELCOM","HELCOM2",8.40651667,56.61253333,296.517932747152
"113","HELCOM","HELCOM20",9.82208333,54.84033333,NA
