"","data","sta","x","y","AFDW_Dep"
"91","HELCOM","HELCOM180",13.63348333,55.225,0.113989048811024
"92","HELCOM","HELCOM181",13.63348333,55.22503333,0.0635586403226458
"93","HELCOM","HELCOM182",13.6335,55.22516667,0.0183687384761458
"94","HELCOM","HELCOM183",13.63358333,55.225,5.98419677628741
"95","HELCOM","HELCOM184",13.63378333,55.22488333,0.187780300117232
"96","HELCOM","HELCOM185",13.66636667,55.13358333,1.20464710507574
"97","HELCOM","HELCOM186",13.66638333,55.133,1.96766191452836
"98","HELCOM","HELCOM187",13.6665,55.13333333,0.0840232276393491
"99","HELCOM","HELCOM188",13.6666,55.13328333,2.27951091929751
"100","HELCOM","HELCOM189",13.66665,55.13341667,1.56143870987776
"101","HELCOM","HELCOM19",9.80643333,55.13905,9.63177504502576
"102","HELCOM","HELCOM190",14.0833,55,7.19801240847436
"103","HELCOM","HELCOM191",14.32593333,54.84083333,102.114246956909
"104","HELCOM","HELCOM192",15.7,55.96616667,5.29112213019537
"105","HELCOM","HELCOM193",15.7001,55.96608333,8.26254375437971
"106","HELCOM","HELCOM194",15.7001,55.9662,7.00708051711541
"107","HELCOM","HELCOM195",15.70015,55.96616667,7.60545973057424
"108","HELCOM","HELCOM196",15.71333333,55.97483333,10.9417887674503
"109","HELCOM","HELCOM197",15.72358333,55.97938333,6.03333348183307
"110","HELCOM","HELCOM198",15.72526667,55.97933333,7.62748968396567
"111","HELCOM","HELCOM199",15.72528333,55.97935,3.34946485547531
"112","HELCOM","HELCOM2",8.40651667,56.61253333,55.2449841430237
"113","HELCOM","HELCOM20",9.82208333,54.84033333,12.4685153967536
"114","HELCOM","HELCOM200",15.72541667,55.75005,0.792368353198796
"115","HELCOM","HELCOM201",15.7256,55.7498,0.413676634348558
"116","HELCOM","HELCOM202",15.72566667,55.75,0.115472636499698
"117","HELCOM","HELCOM203",15.72568333,55.7498,0.0129558929667487
"118","HELCOM","HELCOM204",15.72593333,55.75,0.0322212664466334
"119","HELCOM","HELCOM205",15.7268,55.8824,3.2532570879137
"120","HELCOM","HELCOM206",15.72683333,55.88233333,0.977873667240617
"121","HELCOM","HELCOM207",15.7269,55.8823,2.10186656989296
"122","HELCOM","HELCOM208",15.72693333,55.88231667,12.5041230907264
"123","HELCOM","HELCOM209",15.77258333,55.85701667,4.90579118670633
"124","HELCOM","HELCOM21",9.85353333,56.6453,232.012068881695
"125","HELCOM","HELCOM210",15.7726,55.85683333,2.98868283548975
"126","HELCOM","HELCOM211",15.7728,55.85698333,2.78661960199903
"127","HELCOM","HELCOM212",15.77283333,55.857,1.57860543089028
"128","HELCOM","HELCOM213",15.77288333,55.8569,2.22687727140478
"129","HELCOM","HELCOM214",15.79695,55.83291667,0.935312662949743
"130","HELCOM","HELCOM215",15.79723333,55.83283333,0.659160547870904
"131","HELCOM","HELCOM216",15.79728333,55.83298333,0.655126004734449
"132","HELCOM","HELCOM217",15.79733333,55.83283333,0.218313893064049
"133","HELCOM","HELCOM218",15.79738333,55.83298333,0.0986050095437758
"134","HELCOM","HELCOM219",15.84028333,55.86288333,2.30637482564707
"135","HELCOM","HELCOM22",9.8855,55.25433333,6384.47142683065
"136","HELCOM","HELCOM220",15.8405,55.86283333,2.57013457689283
"137","HELCOM","HELCOM221",15.8405,55.8629,5.37184656933721
"138","HELCOM","HELCOM222",15.8406,55.8629,6.85257025475534
"139","HELCOM","HELCOM223",15.84071667,55.8629,2.30685446142571
"140","HELCOM","HELCOM224",15.84413333,55.83285,0.0348956017573997
"141","HELCOM","HELCOM225",15.8442,55.8329,0.124404346551555
"142","HELCOM","HELCOM226",15.8443,55.8329,NA
"143","HELCOM","HELCOM227",15.84431667,55.83278333,0.124777343288185
"144","HELCOM","HELCOM228",15.84433333,55.83283333,0.0509900352349019
"145","HELCOM","HELCOM229",15.8935,55.9525,1.25720720265455
"146","HELCOM","HELCOM23",9.9495,55.84795,314.010663383831
"147","HELCOM","HELCOM230",15.89358333,55.95226667,9.39976965883362
"148","HELCOM","HELCOM231",15.89361667,55.95266667,1.4754135235227
"149","HELCOM","HELCOM232",15.8937,55.9525,0.735356591880799
"150","HELCOM","HELCOM233",15.8937,55.95258333,2.89017119766512
"151","HELCOM","HELCOM234",15.93318333,55.75018333,NA
"152","HELCOM","HELCOM235",15.9333,55.75021667,0.0623886716440924
"153","HELCOM","HELCOM236",15.93338333,55.7501,NA
"154","HELCOM","HELCOM237",15.9833,55.25,0.555956170384693
"155","HELCOM","HELCOM238",16.88881667,57.58575,2.29480727547216
"156","HELCOM","HELCOM239",16.88888333,57.58578333,0.659888265314461
"157","HELCOM","HELCOM24",10.07118333,55.16486667,21.8944431554956
"158","HELCOM","HELCOM240",16.88898333,57.58573333,2.81171631325398
"159","HELCOM","HELCOM241",16.889,57.58583333,NA
"160","HELCOM","HELCOM242",16.88908333,57.58578333,2.20318254877598
"161","HELCOM","HELCOM243",16.9037,57.56138333,2.24537574082907
"162","HELCOM","HELCOM244",16.90373333,57.56155,0.751627150840871
"163","HELCOM","HELCOM245",16.90383333,57.56148333,4.45644854282479
"164","HELCOM","HELCOM246",16.9327,57.7164,13.4362510767336
"165","HELCOM","HELCOM247",16.93275,57.71645,15.5986810635857
"166","HELCOM","HELCOM248",16.9329,57.7165,5.78368590029521
"167","HELCOM","HELCOM249",16.933,57.7165,0.736613955241696
"168","HELCOM","HELCOM25",10.085,55.147,239.040329722086
"169","HELCOM","HELCOM250",16.93305,57.7164,4.7907689057398
"170","HELCOM","HELCOM251",16.94486667,57.53471667,0.129172421531153
"171","HELCOM","HELCOM252",16.9451,57.53458333,0.06233693974389
"172","HELCOM","HELCOM253",16.9451,57.5347,NA
"173","HELCOM","HELCOM254",16.94511667,57.53475,NA
"174","HELCOM","HELCOM255",16.94516667,57.53466667,NA
"175","HELCOM","HELCOM256",16.9505,57.63833333,0.0956443753898177
"176","HELCOM","HELCOM257",16.95056667,57.63841667,NA
"177","HELCOM","HELCOM258",16.9506,57.63838333,0.621688440033815
"178","HELCOM","HELCOM259",16.95081667,57.63836667,0.520102017141933
"179","HELCOM","HELCOM26",10.09801667,55.67453333,56.6835501577048
"180","HELCOM","HELCOM260",16.969,57.5253,0.0719410041446233
"181","HELCOM","HELCOM261",16.96918333,57.52526667,0.0724959974263562
"182","HELCOM","HELCOM262",16.97318333,57.72508333,0.481182511103047
"183","HELCOM","HELCOM263",16.97328333,57.72508333,0.508894717807002
"184","HELCOM","HELCOM264",16.9733,57.72518333,1.0723209124862
"185","HELCOM","HELCOM265",16.97333333,57.72518333,0.0623886716440924
"186","HELCOM","HELCOM266",16.9735,57.72516667,0.0956443753898177
"187","HELCOM","HELCOM267",16.9905,57.64891667,0.217487992279068
"188","HELCOM","HELCOM269",17.00091667,57.60188333,0.507471981984493
"189","HELCOM","HELCOM27",10.1515,55.61108333,96.0432125492692
"190","HELCOM","HELCOM270",17.001,57.6019,NA
"191","HELCOM","HELCOM271",17.06667,55.21667,1.93136663425236
"192","HELCOM","HELCOM272",17.09146667,57.7333,0.0645862107655767
"193","HELCOM","HELCOM273",17.09156667,57.73336667,NA
"194","HELCOM","HELCOM274",17.09158333,57.7334,NA
"195","HELCOM","HELCOM275",17.22168333,58.5311,7.14920647148155
"196","HELCOM","HELCOM276",17.2219,58.53098333,7.75856875722809
"197","HELCOM","HELCOM277",17.22196667,58.53101667,15.6022753017612
"198","HELCOM","HELCOM278",17.22198333,58.5312,40.1166990834385
"199","HELCOM","HELCOM279",17.2633,58.5375,5.96304935405029
"200","HELCOM","HELCOM28",10.1757,56.70381667,253.869046132375
"201","HELCOM","HELCOM280",17.26331667,58.5376,2.17738958914333
"202","HELCOM","HELCOM281",17.2634,58.53758333,1.01055086991208
"203","HELCOM","HELCOM282",17.26341667,58.53751667,0.82032198906894
"204","HELCOM","HELCOM283",17.27235,58.51463333,13.1054972933204
"205","HELCOM","HELCOM284",17.2725,58.5146,0.755531435048683
"206","HELCOM","HELCOM285",17.2726,58.5146,1.79897652567584
"207","HELCOM","HELCOM286",17.27261667,58.51466667,2.67337684029842
"208","HELCOM","HELCOM287",17.2895,60.95016667,5.50778069005625
"209","HELCOM","HELCOM288",17.29008333,58.54898333,5.42948582410202
"210","HELCOM","HELCOM289",17.29008333,58.54905,3.33764504229862
"211","HELCOM","HELCOM29",10.20836667,56.47206667,0.912660405425715
"212","HELCOM","HELCOM290",17.29018333,58.54898333,0.887520327184254
"213","HELCOM","HELCOM291",17.29361667,58.55036667,5.09470498739915
"214","HELCOM","HELCOM292",17.31568333,58.51958333,3.76284207019898
"215","HELCOM","HELCOM293",17.31591667,58.51988333,9.73118465070772
"216","HELCOM","HELCOM294",17.31598333,58.51948333,3.03951616344067
"217","HELCOM","HELCOM295",17.31598333,58.51958333,3.94063663029499
"218","HELCOM","HELCOM296",17.31883333,61.46066667,13.1267391069572
"219","HELCOM","HELCOM297",17.34758333,58.45388333,12.9388692392098
"220","HELCOM","HELCOM298",17.34768333,58.454,0.309959106988829
"221","HELCOM","HELCOM299",17.34773333,58.45375,4.06803952530502
"222","HELCOM","HELCOM3",8.83091667,56.73393333,2.38282506416457
"223","HELCOM","HELCOM30",10.22453333,56.5454,5.99465980320311
"224","HELCOM","HELCOM300",17.34776667,58.45358333,4.55116846356644
"225","HELCOM","HELCOM301",17.3485,61.03283333,9.7860497403027
"226","HELCOM","HELCOM302",17.35216667,61.072,5.00958719600542
"227","HELCOM","HELCOM303",17.35883333,61.953,5.54136583295098
"228","HELCOM","HELCOM304",17.35988333,61.37578333,7.8638010821753
"229","HELCOM","HELCOM305",17.36028333,61.37578333,10.2567705479165
"230","HELCOM","HELCOM306",17.3603,61.37585,8.24211900169072
"231","HELCOM","HELCOM307",17.36033333,61.37566667,5.99108715640691
"232","HELCOM","HELCOM308",17.36035,61.37576667,6.23272722246607
"233","HELCOM","HELCOM309",17.36483333,61.92716667,1.08448559323555
"234","HELCOM","HELCOM31",10.22803333,56.51623333,0.779205203769058
"235","HELCOM","HELCOM310",17.3683,61.39308333,9.54118572929244
"236","HELCOM","HELCOM311",17.3683,61.3932,6.095003093433
"237","HELCOM","HELCOM312",17.36831667,61.39315,6.7816895303083
"238","HELCOM","HELCOM313",17.3684,58.56138333,2.56564349937918
"239","HELCOM","HELCOM314",17.36843333,61.39315,16.9574685575886
"240","HELCOM","HELCOM315",17.36845,58.56136667,0.54856337227316
"241","HELCOM","HELCOM316",17.3685,61.39316667,13.2306170118907
"242","HELCOM","HELCOM317",17.36855,58.56131667,2.97754380946745
"243","HELCOM","HELCOM318",17.3886,58.45178333,4.68855926966555
"244","HELCOM","HELCOM319",17.38865,58.45181667,5.94684665248568
"245","HELCOM","HELCOM32",10.23183333,56.71223333,13.7090235981108
"246","HELCOM","HELCOM320",17.38905,58.45188333,4.23484025665323
"247","HELCOM","HELCOM321",17.3895,61.788,2.39230454591948
"248","HELCOM","HELCOM322",17.395,61.98583333,13.7407459703574
"249","HELCOM","HELCOM323",17.40691667,58.45716667,0.311943358220462
"250","HELCOM","HELCOM324",17.407,58.45738333,3.05035751494048
"251","HELCOM","HELCOM325",17.40701667,58.45751667,1.36708811373439
"252","HELCOM","HELCOM326",17.42675,58.47065,0.695164661420303
"253","HELCOM","HELCOM327",17.4268,58.4707,0.48356510215979
"254","HELCOM","HELCOM328",17.42691667,58.47076667,1.40596317425847
"255","HELCOM","HELCOM329",17.42933333,61.37783333,8.52028213595465
"256","HELCOM","HELCOM33",10.23253333,56.49056667,0.395714029504562
"257","HELCOM","HELCOM330",17.4294,61.37768333,11.0969211626464
"258","HELCOM","HELCOM331",17.42953333,61.3777,12.0186488176854
"259","HELCOM","HELCOM332",17.4296,61.37768333,11.6859186115021
"260","HELCOM","HELCOM333",17.4297,61.3776,10.5205342835269
