"n.acc","Trophy",AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
"Bathyporeia pelagica","De",103066,exact,Bathyporeia pelagica,103066,Bathyporeia pelagica,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,pelagica,
"Bathyporeia pilosa","De",103068,exact,Bathyporeia pilosa,103068,Bathyporeia pilosa,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,pilosa,
"Bathyporeia sarsi","De",103073,exact,Bathyporeia sarsi,103073,Bathyporeia sarsi,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,sarsi,
"Bathyporeia tenuipes","De",103076,exact,Bathyporeia tenuipes,103076,Bathyporeia tenuipes,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,tenuipes,
"Bela nebula","CaSc",139217,exact,Bela nebula,139217,Bela nebula,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Bela,,nebula,
"Bodotria arenosa","De",110440,exact,Bodotria arenosa,110440,Bodotria arenosa,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Bodotria,,arenosa,
"Bodotria scorpioides","De",110445,exact,Bodotria scorpioides,110445,Bodotria scorpioides,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Bodotria,,scorpioides,
"Brissopsis lyrifera","De",124373,exact,Brissopsis lyrifera,124373,Brissopsis lyrifera,Animalia,Echinodermata,Echinoidea,Spatangoida,Brissidae,Brissopsis,,lyrifera,
"Buccinum undatum","CaSc",138878,exact,Buccinum undatum,138878,Buccinum undatum,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Buccinum,,undatum,
"Bylgides sarsi","CaSc",130735,exact,Bylgides sarsi,130735,Bylgides sarsi,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bylgides,,sarsi,
"Cadlina laevis","CaSc",139134,exact,Cadlina laevis,139134,Cadlina laevis,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Cadlina,,laevis,
"Callianassa subterranea","De",107729,exact,Callianassa subterranea,107729,Callianassa subterranea,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassa,,subterranea,
"Callista chione","Su",141906,exact,Callista chione,141906,Callista chione,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Callista,,chione,
"Calocaris macandreae","De",107726,exact,Calocaris macandreae,107726,Calocaris macandreae,Animalia,Arthropoda,Malacostraca,Decapoda,Axiidae,Calocaris,,macandreae,
"Cancer pagurus","CaSc",107276,exact,Cancer pagurus,107276,Cancer pagurus,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,,pagurus,
"Capitella capitata","De",129876,exact,Capitella capitata,129876,Capitella capitata,Animalia,Annelida,Polychaeta,,Capitellidae,Capitella,,capitata,
"Caprella equilibra","Om",101830,exact,Caprella equilibra,101830,Caprella equilibra,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,,equilibra,
"Caprella grandimana","SuDe",101834,exact,Caprella grandimana,101834,Caprella grandimana,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,,grandimana,
"Caprella septentrionalis","Su",101851,exact,Caprella septentrionalis,101851,Caprella septentrionalis,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,,septentrionalis,
"Carcinus maenas","Om",107381,exact,Carcinus maenas,107381,Carcinus maenas,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,,maenas,
"Cerastoderma edule","Su",138998,exact,Cerastoderma edule,138998,Cerastoderma edule,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Cerastoderma,,edule,
"Cerastoderma glaucum","Su",138999,exact,Cerastoderma glaucum,138999,Cerastoderma glaucum,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Cerastoderma,,glaucum,
"Chaetopterus variopedatus","Su",129914,exact,Chaetopterus variopedatus,129914,Chaetopterus variopedatus,Animalia,Annelida,Polychaeta,,Chaetopteridae,Chaetopterus,,variopedatus,
"Chaetozone setosa","De",129955,exact,Chaetozone setosa,129955,Chaetozone setosa,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone,,setosa,
"Chamelea gallina","Su",141907,exact,Chamelea gallina,141907,Chamelea gallina,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Chamelea,,gallina,
"Chamelea striatula","Su",141908,exact,Chamelea striatula,141908,Chamelea striatula,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Chamelea,,striatula,
"Cheirocratus sundevallii","De",102798,exact,Cheirocratus sundevallii,102798,Cheirocratus sundevallii,Animalia,Arthropoda,Malacostraca,Amphipoda,Cheirocratidae,Cheirocratus,,sundevallii,
"Chironomus salinarius","De",146803,exact,Chironomus salinarius,146803,Chironomus salinarius,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,,salinarius,
"Clibanarius erythropus","Om",107196,exact,Clibanarius erythropus,107196,Clibanarius erythropus,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Clibanarius,,erythropus,
"Corbula gibba","SuDe",139410,exact,Corbula gibba,139410,Corbula gibba,Animalia,Mollusca,Bivalvia,Myida,Corbulidae,Corbula,,gibba,
"Corophium arenarium","SuDe",102087,exact,Corophium arenarium,102087,Corophium arenarium,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,,arenarium,
"Corophium multisetosum","SuDe",102096,exact,Corophium multisetosum,102096,Corophium multisetosum,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,,multisetosum,
"Corophium volutator","SuDe",102101,exact,Corophium volutator,102101,Corophium volutator,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,,volutator,
"Corystes cassivelaunus","CaSc",107277,exact,Corystes cassivelaunus,107277,Corystes cassivelaunus,Animalia,Arthropoda,Malacostraca,Decapoda,Corystidae,Corystes,,cassivelaunus,
"Crangon allmanni","CaSc",107551,exact,Crangon allmanni,107551,Crangon allmanni,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,,allmanni,
"Crangon crangon","CaSc",107552,exact,Crangon crangon,107552,Crangon crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,,crangon,
"Crassicorophium bonellii","Su",237004,exact,Crassicorophium bonellii,237004,Crassicorophium bonellii,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Crassicorophium,,bonellii,
"Crossaster papposus","CaSc",124154,exact,Crossaster papposus,124154,Crossaster papposus,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Crossaster,,papposus,
"Ctenodiscus crispatus","De",123915,exact,Ctenodiscus crispatus,123915,Ctenodiscus crispatus,Animalia,Echinodermata,Asteroidea,Paxillosida,Ctenodiscidae,Ctenodiscus,,crispatus,
"Cumopsis goodsir","De",110465,exact,Cumopsis goodsir,110465,Cumopsis goodsir,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Cumopsis,,goodsir,
"Cuthona nana","CaSc",141627,exact,Cuthona nana,141627,Cuthona nana,Animalia,Mollusca,Gastropoda,Nudibranchia,Cuthonidae,Cuthona,,nana,
"Cyathura carinata","Om",118474,exact,Cyathura carinata,118474,Cyathura carinata,Animalia,Arthropoda,Malacostraca,Isopoda,Anthuridae,Cyathura,,carinata,
"Cyclaspis longicaudata","De",110446,exact,Cyclaspis longicaudata,110446,Cyclaspis longicaudata,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Cyclaspis,,longicaudata,
"Cymadusa filosa","He",102007,exact,Cymadusa filosa,102007,Cymadusa filosa,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Cymadusa,,filosa,
"Dendronotus frondosus","CaSc",139523,exact,Dendronotus frondosus,139523,Dendronotus frondosus,Animalia,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,,frondosus,
"Diastylis bradyi","De",110472,exact,Diastylis bradyi,110472,Diastylis bradyi,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,,bradyi,
"Diastylis rathkei","De",110487,exact,Diastylis rathkei,110487,Diastylis rathkei,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,,rathkei,
"Diastyloides serratus","De",110497,exact,Diastyloides serratus,110497,Diastyloides serratus,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastyloides,,serratus,
"Diogenes pugilator","CaSc",107199,exact,Diogenes pugilator,107199,Diogenes pugilator,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Diogenes,,pugilator,
"Donax trunculus","Su",139602,exact,Donax trunculus,139602,Donax trunculus,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,,trunculus,
"Donax vittatus","Su",139604,exact,Donax vittatus,139604,Donax vittatus,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,,vittatus,
"Doris pseudoargus","CaSc",181228,exact,Doris pseudoargus,181228,Doris pseudoargus,Animalia,Mollusca,Gastropoda,Nudibranchia,Dorididae,Doris,,pseudoargus,
"Dosinia exoleta","Su",141911,exact,Dosinia exoleta,141911,Dosinia exoleta,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Dosinia,,exoleta,
"Dosinia lupinus","Su",141912,exact,Dosinia lupinus,141912,Dosinia lupinus,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Dosinia,,lupinus,
"Doto coronata","CaSc",139631,exact,Doto coronata,139631,Doto coronata,Animalia,Mollusca,Gastropoda,Nudibranchia,Dotidae,Doto,,coronata,
"Dyopedos monacanthus","Su",489646,exact,Dyopedos monacanthus,489646,Dyopedos monacanthus,Animalia,Arthropoda,Malacostraca,Amphipoda,Dulichiidae,Dyopedos,,monacanthus,
"Ebalia cranchii","Om",107294,exact,Ebalia cranchii,107294,Ebalia cranchii,Animalia,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Ebalia,,cranchii,
"Echinocardium cordatum","De",124392,exact,Echinocardium cordatum,124392,Echinocardium cordatum,Animalia,Echinodermata,Echinoidea,Spatangoida,Loveniidae,Echinocardium,,cordatum,
"Echinocyamus pusillus","De",124273,exact,Echinocyamus pusillus,124273,Echinocyamus pusillus,Animalia,Echinodermata,Echinoidea,Clypeasteroida,Echinocyamidae,Echinocyamus,,pusillus,
"Echinogammarus marinus","De",102261,exact,Echinogammarus marinus,102261,Echinogammarus marinus,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Echinogammarus,,marinus,
"Echinogammarus obtusatus","De",148595,exact,Echinogammarus obtusatus,148595,Echinogammarus obtusatus,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Echinogammarus,,obtusatus,
"Echinus esculentus","Om",124287,exact,Echinus esculentus,124287,Echinus esculentus,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinidae,Echinus,,esculentus,
"Elysia viridis","He",139686,exact,Elysia viridis,139686,Elysia viridis,Animalia,Mollusca,Gastropoda,,Plakobranchidae,Elysia,,viridis,
"Endeis spinosa","De",134674,exact,Endeis spinosa,134674,Endeis spinosa,Animalia,Arthropoda,Pycnogonida,Pantopoda,Endeidae,Endeis,,spinosa,
"Ensis directus","Su",933783,exact,Ensis directus,933783,Ensis directus,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,,directus,
"Ensis ensis","Su",140733,exact,Ensis ensis,140733,Ensis ensis,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,,ensis,
"Ensis magnus","Su",160539,exact,Ensis magnus,160539,Ensis magnus,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,,magnus,
"Ensis siliqua","Su",140735,exact,Ensis siliqua,140735,Ensis siliqua,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,,siliqua,
"Epitonium clathratulum","CaSc",139718,exact,Epitonium clathratulum,139718,Epitonium clathratulum,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Epitoniidae,Epitonium,,clathratulum,
"Erythrops elegans","Om",119997,exact,Erythrops elegans,119997,Erythrops elegans,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Erythrops,,elegans,
"Erythrops serratus","Om",852974,exact,Erythrops serratus,852974,Erythrops serratus,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Erythrops,,serratus,
"Eteone flava","CaSc",130613,exact,Eteone flava,130613,Eteone flava,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,,flava,
"Eteone longa","CaSc",130616,exact,Eteone longa,130616,Eteone longa,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,,longa,
"Eulalia bilineata","CaSc",130624,exact,Eulalia bilineata,130624,Eulalia bilineata,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eulalia,,bilineata,
"Eumida sanguinea","CaSc",130644,exact,Eumida sanguinea,130644,Eumida sanguinea,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eumida,,sanguinea,
"Eunereis longissima","Om",130375,exact,Eunereis longissima,130375,Eunereis longissima,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Eunereis,,longissima,
"Eupolymnia nebulosa","De",131489,exact,Eupolymnia nebulosa,131489,Eupolymnia nebulosa,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Eupolymnia,,nebulosa,
"Eurydice pulchra","CaSc",118852,exact,Eurydice pulchra,118852,Eurydice pulchra,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Eurydice,,pulchra,
"Euspira catena","CaSc",140528,exact,Euspira catena,140528,Euspira catena,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,,catena,
"Euspira nitida","CaSc",151894,exact,Euspira nitida,151894,Euspira nitida,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Euspira,,nitida,
"Fabulina fabula","SuDe",146907,exact,Fabulina fabula,146907,Fabulina fabula,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Fabulina,,fabula,
"Flexopecten glaber","Su",236720,exact,Flexopecten glaber,236720,Flexopecten glaber,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Flexopecten,,glaber,
"Gammaropsis maculata","De",102364,exact,Gammaropsis maculata,102364,Gammaropsis maculata,Animalia,Arthropoda,Malacostraca,Amphipoda,Photidae,Gammaropsis,,maculata,
"Gammarus insensibilis","De",102280,exact,Gammarus insensibilis,102280,Gammarus insensibilis,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,insensibilis,
"Gammarus locusta","Om",102281,exact,Gammarus locusta,102281,Gammarus locusta,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,locusta,
"Gammarus oceanicus","De",102285,exact,Gammarus oceanicus,102285,Gammarus oceanicus,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,oceanicus,
"Gammarus salinus","De",102292,exact,Gammarus salinus,102292,Gammarus salinus,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,salinus,
"Gammarus zaddachi","He",102299,exact,Gammarus zaddachi,102299,Gammarus zaddachi,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,zaddachi,
"Gari fervensis","Su",140870,exact,Gari fervensis,140870,Gari fervensis,Animalia,Mollusca,Bivalvia,Cardiida,Psammobiidae,Gari,,fervensis,
"Gastrosaccus sanctus","Om",120019,exact,Gastrosaccus sanctus,120019,Gastrosaccus sanctus,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Gastrosaccus,,sanctus,
"Gastrosaccus spinifer","Om",120020,exact,Gastrosaccus spinifer,120020,Gastrosaccus spinifer,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Gastrosaccus,,spinifer,
"Gattyana cirrhosa","CaSc",130749,exact,Gattyana cirrhosa,130749,Gattyana cirrhosa,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gattyana,,cirrhosa,
"Glycera alba","CaSc",130116,exact,Glycera alba,130116,Glycera alba,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,,alba,
"Glycera tridactyla","CaSc",130130,exact,Glycera tridactyla,130130,Glycera tridactyla,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,,tridactyla,
"Glycymeris glycymeris","Su",140025,exact,Glycymeris glycymeris,140025,Glycymeris glycymeris,Animalia,Mollusca,Bivalvia,Arcida,Glycymerididae,Glycymeris,,glycymeris,
"Goniada maculata","CaSc",130140,exact,Goniada maculata,130140,Goniada maculata,Animalia,Annelida,Polychaeta,Phyllodocida,Goniadidae,Goniada,,maculata,
"Gracilechinus acutus","He",532031,exact,Gracilechinus acutus,532031,Gracilechinus acutus,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinidae,Gracilechinus,,acutus,
"Haliotis tuberculata","He",140059,exact,Haliotis tuberculata,140059,Haliotis tuberculata,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,,tuberculata,
