"n.acc","Trophy",AphiaID,Match type,ScientificName,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
"Heteromysis (Heteromysis) formosa","Om",148701,exact,Heteromysis (Heteromysis) formosa,148701,Heteromysis (Heteromysis) formosa,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Heteromysis,Heteromysis,formosa,
"Hiatella arctica","Su",140103,exact,Hiatella arctica,140103,Hiatella arctica,Animalia,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,,arctica,
"Homarus gammarus","CaSc",107253,exact,Homarus gammarus,107253,Homarus gammarus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,,gammarus,
"Hypereteone foliosa","CaSc",152250,exact,Hypereteone foliosa,152250,Hypereteone foliosa,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Hypereteone,,foliosa,
"Idotea balthica","De",119039,exact,Idotea balthica,119039,Idotea balthica,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,,balthica,
"Idotea chelipes","De",119042,exact,Idotea chelipes,119042,Idotea chelipes,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,,chelipes,
"Idotea granulosa","He",119044,exact,Idotea granulosa,119044,Idotea granulosa,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,,granulosa,
"Idotea linearis","Om",119046,exact,Idotea linearis,119046,Idotea linearis,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,,linearis,
"Idotea pelagica","He",119050,exact,Idotea pelagica,119050,Idotea pelagica,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,,pelagica,
"Iphinoe trispinosa","De",110462,exact,Iphinoe trispinosa,110462,Iphinoe trispinosa,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Iphinoe,,trispinosa,
"Jaera (Jaera) albifrons","De",264171,exact,Jaera (Jaera) albifrons,264171,Jaera (Jaera) albifrons,Animalia,Arthropoda,Malacostraca,Isopoda,Janiridae,Jaera,Jaera,albifrons,
"Jassa falcata","Su",102431,exact,Jassa falcata,102431,Jassa falcata,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,,falcata,
"Jassa marmorata","Su",102433,exact,Jassa marmorata,102433,Jassa marmorata,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,,marmorata,
"Kefersteinia cirrhata","CaSc",130164,exact,Kefersteinia cirrhata,152249,Psamathe fusca,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Kefersteinia,,cirrhata,
"Kellia suborbicularis","De",140161,exact,Kellia suborbicularis,140161,Kellia suborbicularis,Animalia,Mollusca,Bivalvia,,Lasaeidae,Kellia,,suborbicularis,
"Kurtiella bidentata","De",345281,exact,Kurtiella bidentata,345281,Kurtiella bidentata,Animalia,Mollusca,Bivalvia,,Lasaeidae,Kurtiella,,bidentata,
"Lacuna pallidula","He",140168,exact,Lacuna pallidula,140168,Lacuna pallidula,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,,pallidula,
"Lacuna parva","He",140169,exact,Lacuna parva,140169,Lacuna parva,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,,parva,
"Lacuna vincta","He",140170,exact,Lacuna vincta,140170,Lacuna vincta,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,,vincta,
"Lagis koreni","De",152367,exact,Lagis koreni,152367,Lagis koreni,Animalia,Annelida,Polychaeta,Terebellida,Pectinariidae,Lagis,,koreni,
"Lamprops fasciatus","SuDe",110516,exact,Lamprops fasciatus,110516,Lamprops fasciatus,Animalia,Arthropoda,Malacostraca,Cumacea,Lampropidae,Lamprops,,fasciatus,
"Lanice conchilega","SuDe",131495,exact,Lanice conchilega,131495,Lanice conchilega,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,,conchilega,
"Laonice cirrata","De",131128,exact,Laonice cirrata,131128,Laonice cirrata,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Laonice,,cirrata,
"Lasaea adansoni","Su",178911,exact,Lasaea adansoni,178911,Lasaea adansoni,Animalia,Mollusca,Bivalvia,,Lasaeidae,Lasaea,,adansoni,
"Lembos websteri","Su",102033,exact,Lembos websteri,102033,Lembos websteri,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Lembos,,websteri,
"Lepidochitona cinerea","Om",152774,exact,Lepidochitona cinerea,152774,Lepidochitona cinerea,Animalia,Mollusca,Polyplacophora,Chitonida,Lepidochitonidae,Lepidochitona,,cinerea,
"Lepidonotus squamatus","Om",130801,exact,Lepidonotus squamatus,130801,Lepidonotus squamatus,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Lepidonotus,,squamatus,
"Leptomysis gracilis","De",120052,exact,Leptomysis gracilis,120052,Leptomysis gracilis,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Leptomysis,,gracilis,
"Leptosynapta inhaerens","De",124465,exact,Leptosynapta inhaerens,124465,Leptosynapta inhaerens,Animalia,Echinodermata,Holothuroidea,Apodida,Synaptidae,Leptosynapta,,inhaerens,
"Leucon (Leucon) affinis","De",160615,exact,Leucon (Leucon) affinis,160615,Leucon (Leucon) affinis,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,Leucon,Leucon,affinis,
"Leucon (Leucon) nasica","De",110618,exact,Leucon (Leucon) nasica,110618,Leucon (Leucon) nasica,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,Leucon,Leucon,nasica,
"Leucon (Macrauloleucon) siphonatus","De",110623,exact,Leucon (Macrauloleucon) siphonatus,110623,Leucon (Macrauloleucon) siphonatus,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,Leucon,Macrauloleucon,siphonatus,
"Limapontia capitata","He",140229,exact,Limapontia capitata,140229,Limapontia capitata,Animalia,Mollusca,Gastropoda,,Limapontiidae,Limapontia,,capitata,
"Limapontia depressa","He",140230,exact,Limapontia depressa,140230,Limapontia depressa,Animalia,Mollusca,Gastropoda,,Limapontiidae,Limapontia,,depressa,
"Limecola balthica","SuDe",880017,exact,Limecola balthica,880017,Limecola balthica,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Limecola,,balthica,
"Liocarcinus navigator","CaSc",107392,exact,Liocarcinus navigator,107392,Liocarcinus navigator,Animalia,Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus,,navigator,
"Littorina fabalis","He",140261,exact,Littorina fabalis,140261,Littorina fabalis,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,,fabalis,
"Littorina littorea","Om",140262,exact,Littorina littorea,140262,Littorina littorea,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,,littorea,
"Littorina obtusata","He",140263,exact,Littorina obtusata,140263,Littorina obtusata,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,,obtusata,
"Littorina saxatilis","He",140264,exact,Littorina saxatilis,140264,Littorina saxatilis,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,,saxatilis,
"Lucinoma borealis","Su",140283,exact,Lucinoma borealis,140283,Lucinoma borealis,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucinoma,,borealis,
"Lumbrineris latreilli","CaSc",130248,exact,Lumbrineris latreilli,130248,Lumbrineris latreilli,Animalia,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineris,,latreilli,
"Lutraria lutraria","Su",140295,exact,Lutraria lutraria,140295,Lutraria lutraria,Animalia,Mollusca,Bivalvia,,Mactridae,Lutraria,,lutraria,
"Lysmata seticaudata","CaSc",107528,exact,Lysmata seticaudata,107528,Lysmata seticaudata,Animalia,Arthropoda,Malacostraca,Decapoda,Lysmatidae,Lysmata,,seticaudata,
"Macomangulus tenuis","SuDe",878470,exact,Macomangulus tenuis,878470,Macomangulus tenuis,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macomangulus,,tenuis,
"Macropodia rostrata","Om",107345,exact,Macropodia rostrata,107345,Macropodia rostrata,Animalia,Arthropoda,Malacostraca,Decapoda,Inachidae,Macropodia,,rostrata,
"Mactra stultorum","Su",140299,exact,Mactra stultorum,140299,Mactra stultorum,Animalia,Mollusca,Bivalvia,,Mactridae,Mactra,,stultorum,
"Magelona filiformis","De",130268,exact,Magelona filiformis,130268,Magelona filiformis,Animalia,Annelida,Polychaeta,,Magelonidae,Magelona,,filiformis,
"Magelona johnstoni","De",130269,exact,Magelona johnstoni,130269,Magelona johnstoni,Animalia,Annelida,Polychaeta,,Magelonidae,Magelona,,johnstoni,
"Magelona mirabilis","Om",130271,exact,Magelona mirabilis,130271,Magelona mirabilis,Animalia,Annelida,Polychaeta,,Magelonidae,Magelona,,mirabilis,
"Maja brachydactyla","Om",107347,exact,Maja brachydactyla,107347,Maja brachydactyla,Animalia,Arthropoda,Malacostraca,Decapoda,Majidae,Maja,,brachydactyla,
"Maja squinado","Om",107350,exact,Maja squinado,107350,Maja squinado,Animalia,Arthropoda,Malacostraca,Decapoda,Majidae,Maja,,squinado,
"Malacoceros fuliginosus","SuDe",131131,exact,Malacoceros fuliginosus,131131,Malacoceros fuliginosus,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Malacoceros,,fuliginosus,
"Malmgrenia lunulata","CaSc",155194,exact,Malmgrenia lunulata,155194,Malmgrenia lunulata,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,,lunulata,
"Manayunkia aestuarina","SuDe",130926,exact,Manayunkia aestuarina,130926,Manayunkia aestuarina,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Manayunkia,,aestuarina,
"Marthasterias glacialis","CaSc",123803,exact,Marthasterias glacialis,123803,Marthasterias glacialis,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Marthasterias,,glacialis,
"Mediomastus fragilis","De",129892,exact,Mediomastus fragilis,129892,Mediomastus fragilis,Animalia,Annelida,Polychaeta,,Capitellidae,Mediomastus,,fragilis,
"Megaluropus agilis","De",102783,exact,Megaluropus agilis,102783,Megaluropus agilis,Animalia,Arthropoda,Malacostraca,Amphipoda,Megaluropidae,Megaluropus,,agilis,
"Melita palmata","De",102843,exact,Melita palmata,102843,Melita palmata,Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,Melita,,palmata,
"Mesopodopsis slabberi","Om",120072,exact,Mesopodopsis slabberi,120072,Mesopodopsis slabberi,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Mesopodopsis,,slabberi,
"Microdeutopus gryllotalpa","De",102048,exact,Microdeutopus gryllotalpa,102048,Microdeutopus gryllotalpa,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,Microdeutopus,,gryllotalpa,
"Mimachlamys varia","Su",236719,exact,Mimachlamys varia,236719,Mimachlamys varia,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Mimachlamys,,varia,
"Modiolus barbatus","Su",140464,exact,Modiolus barbatus,140464,Modiolus barbatus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,,barbatus,
"Modiolus modiolus","Su",140467,exact,Modiolus modiolus,140467,Modiolus modiolus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,,modiolus,
"Monocorophium insidiosum","Su",148592,exact,Monocorophium insidiosum,148592,Monocorophium insidiosum,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,,insidiosum,
"Monoporeia affinis","De",103077,exact,Monoporeia affinis,103077,Monoporeia affinis,Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Monoporeia,,affinis,
"Musculus discors","SuDe",140472,exact,Musculus discors,140472,Musculus discors,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,,discors,
"Mya arenaria","Su",140430,exact,Mya arenaria,140430,Mya arenaria,Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya,,arenaria,
"Mya truncata","Su",140431,exact,Mya truncata,140431,Mya truncata,Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya,,truncata,
"Mysia undata","Su",140728,exact,Mysia undata,140728,Mysia undata,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mysia,,undata,
"Mysis mixta","Su",120113,exact,Mysis mixta,120113,Mysis mixta,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Mysis,,mixta,
"Mytilus edulis","Su",140480,exact,Mytilus edulis,140480,Mytilus edulis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,edulis,
"Mytilus trossulus","Su",140482,exact,Mytilus trossulus,140482,Mytilus trossulus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,trossulus,
"Natatolana borealis","CaSc",118859,exact,Natatolana borealis,118859,Natatolana borealis,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Natatolana,,borealis,
"Neomysis integer","Om",120136,exact,Neomysis integer,120136,Neomysis integer,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Neomysis,,integer,
"Nephrops norvegicus","CaSc",107254,exact,Nephrops norvegicus,107254,Nephrops norvegicus,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,,norvegicus,
"Nephtys caeca","CaSc",130355,exact,Nephtys caeca,130355,Nephtys caeca,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,caeca,
"Nephtys cirrosa","CaSc",130357,exact,Nephtys cirrosa,130357,Nephtys cirrosa,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,cirrosa,
"Nephtys hombergii","CaSc",130359,exact,Nephtys hombergii,130359,Nephtys hombergii,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,hombergii,
"Neptunea antiqua","CaSc",138920,exact,Neptunea antiqua,138920,Neptunea antiqua,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Neptunea,,antiqua,
"Notomastus latericeus","De",129898,exact,Notomastus latericeus,129898,Notomastus latericeus,Animalia,Annelida,Polychaeta,,Capitellidae,Notomastus,,latericeus,
"Nucella lapillus","CaSc",140403,exact,Nucella lapillus,140403,Nucella lapillus,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,,lapillus,
"Nucula nitidosa","De",140589,exact,Nucula nitidosa,140589,Nucula nitidosa,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Nucula,,nitidosa,
"Nucula nucleus","De",140590,exact,Nucula nucleus,140590,Nucula nucleus,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Nucula,,nucleus,
"Nucula turgida","De",152274,exact,Nucula turgida,152274,Nucula turgida,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Nucula,,turgida,
"Nymphon gracile","Pa",134687,exact,Nymphon gracile,134687,Nymphon gracile,Animalia,Arthropoda,Pycnogonida,Pantopoda,Nymphonidae,Nymphon,,gracile,
"Ocenebra erinaceus","CaSc",140405,exact,Ocenebra erinaceus,140405,Ocenebra erinaceus,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocenebra,,erinaceus,
"Onchidoris bilamellata","CaSc",150457,exact,Onchidoris bilamellata,150457,Onchidoris bilamellata,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Onchidoris,,bilamellata,
"Onchidoris muricata","CaSc",140640,exact,Onchidoris muricata,140640,Onchidoris muricata,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Onchidoris,,muricata,
"Ophelia bicornis","De",130490,exact,Ophelia bicornis,130490,Ophelia bicornis,Animalia,Annelida,Polychaeta,,Opheliidae,Ophelia,,bicornis,
"Ophiothrix fragilis","Su",125131,exact,Ophiothrix fragilis,125131,Ophiothrix fragilis,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,,fragilis,
"Ophiura albida","Om",124913,exact,Ophiura albida,124913,Ophiura albida,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,,albida,
"Ophiura ophiura","CaSc",124929,exact,Ophiura ophiura,124929,Ophiura ophiura,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,,ophiura,
"Orchomenella minuta","CaSc",102690,exact,Orchomenella minuta,102690,Orchomenella minuta,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Orchomenella,,minuta,
"Ostrea edulis","Su",140658,exact,Ostrea edulis,140658,Ostrea edulis,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,,edulis,
"Owenia fusiformis","SuDe",130544,exact,Owenia fusiformis,130544,Owenia fusiformis,Animalia,Annelida,Polychaeta,Sabellida,Oweniidae,Owenia,,fusiformis,
"Oxydromus flexuosus","CaSc",710680,exact,Oxydromus flexuosus,710680,Oxydromus flexuosus,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,,flexuosus,
"Pachygrapsus marmoratus","Om",107455,exact,Pachygrapsus marmoratus,107455,Pachygrapsus marmoratus,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,,marmoratus,
"Pagurus bernhardus","CaSc",107232,exact,Pagurus bernhardus,107232,Pagurus bernhardus,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,,bernhardus,
"Palaemon adspersus","Om",107613,exact,Palaemon adspersus,107613,Palaemon adspersus,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,,adspersus,
"Palaemon elegans","Om",107614,exact,Palaemon elegans,107614,Palaemon elegans,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,,elegans,
"Palaemon serratus","Om",107616,exact,Palaemon serratus,107616,Palaemon serratus,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon,,serratus,
"Palio dubia","CaSc",182807,exact,Palio dubia,182807,Palio dubia,Animalia,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Palio,,dubia,
"Pandalus borealis","CaSc",107649,exact,Pandalus borealis,107649,Pandalus borealis,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,,borealis,
"Pandalus montagui","CaSc",107651,exact,Pandalus montagui,107651,Pandalus montagui,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,,montagui,
"Paracentrotus lividus","He",124316,exact,Paracentrotus lividus,124316,Paracentrotus lividus,Animalia,Echinodermata,Echinoidea,Camarodonta,Parechinidae,Paracentrotus,,lividus,
"Paramysis arenosa","Om",120144,exact,Paramysis arenosa,120144,Paramysis arenosa,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Paramysis,,arenosa,
"Paraonis fulgens","De",146932,exact,Paraonis fulgens,146932,Paraonis fulgens,Animalia,Annelida,Polychaeta,,Paraonidae,Paraonis,,fulgens,
"Pasiphaea sivado","CaSc",107677,exact,Pasiphaea sivado,107677,Pasiphaea sivado,Animalia,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,,sivado,
"Pecten maximus","Su",140712,exact,Pecten maximus,140712,Pecten maximus,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Pecten,,maximus,
"Perforatus perforatus","Su",535477,exact,Perforatus perforatus,535477,Perforatus perforatus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Perforatus,,perforatus,
"Peringia ulvae","De",151628,exact,Peringia ulvae,151628,Peringia ulvae,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Peringia,,ulvae,
"Perioculodes longimanus","Om",102915,exact,Perioculodes longimanus,102915,Perioculodes longimanus,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Perioculodes,,longimanus,
"Pestarella tyrrhena","De",238027,exact,Pestarella tyrrhena,238027,Pestarella tyrrhena,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,Pestarella,,tyrrhena,
"Phaxas pellucidus","Su",140737,exact,Phaxas pellucidus,140737,Phaxas pellucidus,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Phaxas,,pellucidus,
"Philine aperta","CaSc",140744,exact,Philine aperta,140744,Philine aperta,Animalia,Mollusca,Gastropoda,Cephalaspidea,Philinidae,Philine,,aperta,
"Philine denticulata","De",140750,exact,Philine denticulata,140750,Philine denticulata,Animalia,Mollusca,Gastropoda,Cephalaspidea,Philinidae,Philine,,denticulata,
"Philocheras trispinosus","CaSc",107562,exact,Philocheras trispinosus,107562,Philocheras trispinosus,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Philocheras,,trispinosus,
"Pholoe minuta","CaSc",130603,exact,Pholoe minuta,130603,Pholoe minuta,Animalia,Annelida,Polychaeta,Phyllodocida,Pholoidae,Pholoe,,minuta,
"Phorcus lineatus","Om",689176,exact,Phorcus lineatus,689176,Phorcus lineatus,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Phorcus,,lineatus,
"Phoronis muelleri","Su",128549,exact,Phoronis muelleri,128549,Phoronis muelleri,Animalia,Phoronida,,,Phoronidae,Phoronis,,muelleri,
"Phoronis pallida","Su",128551,exact,Phoronis pallida,128551,Phoronis pallida,Animalia,Phoronida,,,Phoronidae,Phoronis,,pallida,
"Phoronis psammophila","Su",128552,exact,Phoronis psammophila,128552,Phoronis psammophila,Animalia,Phoronida,,,Phoronidae,Phoronis,,psammophila,
"Photis longicaudata","De",102383,exact,Photis longicaudata,102383,Photis longicaudata,Animalia,Arthropoda,Malacostraca,Amphipoda,Photidae,Photis,,longicaudata,
"Photis reinhardi","Su",102387,exact,Photis reinhardi,102387,Photis reinhardi,Animalia,Arthropoda,Malacostraca,Amphipoda,Photidae,Photis,,reinhardi,
"Phoxichilidium femoratum","Pa",134741,exact,Phoxichilidium femoratum,134741,Phoxichilidium femoratum,Animalia,Arthropoda,Pycnogonida,Pantopoda,Phoxichilidiidae,Phoxichilidium,,femoratum,
"Phyllodoce mucosa","CaSc",334512,exact,Phyllodoce mucosa,334512,Phyllodoce mucosa,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,,mucosa,
"Pisidia longicornis","Su",107188,exact,Pisidia longicornis,107188,Pisidia longicornis,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Pisidia,,longicornis,
"Pisione remota","CaSc",130707,exact,Pisione remota,130707,Pisione remota,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pisione,,remota,
"Platysympus typicus","De",110522,exact,Platysympus typicus,110522,Platysympus typicus,Animalia,Arthropoda,Malacostraca,Cumacea,Lampropidae,Platysympus,,typicus,
"Poecilochaetus serpens","SuDe",130711,exact,Poecilochaetus serpens,130711,Poecilochaetus serpens,Animalia,Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus,,serpens,
"Polititapes rhomboides","Su",745846,exact,Polititapes rhomboides,745846,Polititapes rhomboides,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Polititapes,,rhomboides,
"Polydora ciliata","SuDe",131141,exact,Polydora ciliata,131141,Polydora ciliata,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora,,ciliata,
"Polydora cornuta","SuDe",131143,exact,Polydora cornuta,131143,Polydora cornuta,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora,,cornuta,
"Pontocrates altamarinus","Om",102916,exact,Pontocrates altamarinus,102916,Pontocrates altamarinus,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Pontocrates,,altamarinus,
"Pontocrates arcticus","Om",102917,exact,Pontocrates arcticus,102917,Pontocrates arcticus,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Pontocrates,,arcticus,
"Pontocrates arenarius","Om",102918,exact,Pontocrates arenarius,102918,Pontocrates arenarius,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Pontocrates,,arenarius,
"Pontoporeia femorata","De",103079,exact,Pontoporeia femorata,103079,Pontoporeia femorata,Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Pontoporeia,,femorata,
"Portumnus latipes","Om",107400,exact,Portumnus latipes,107400,Portumnus latipes,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Portumnus,,latipes,
"Praunus flexuosus","Om",120177,exact,Praunus flexuosus,120177,Praunus flexuosus,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Praunus,,flexuosus,
"Praunus inermis","Om",120178,exact,Praunus inermis,120178,Praunus inermis,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Praunus,,inermis,
"Praunus neglectus","Om",120180,exact,Praunus neglectus,120180,Praunus neglectus,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Praunus,,neglectus,
"Prionospio cirrifera","De",131153,exact,Prionospio cirrifera,131153,Prionospio cirrifera,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,cirrifera,
"Psammechinus miliaris","Om",124319,exact,Psammechinus miliaris,124319,Psammechinus miliaris,Animalia,Echinodermata,Echinoidea,Camarodonta,Parechinidae,Psammechinus,,miliaris,
"Pseudocuma (Pseudocuma) longicorne","De",110627,exact,Pseudocuma (Pseudocuma) longicorne,110627,Pseudocuma (Pseudocuma) longicorne,Animalia,Arthropoda,Malacostraca,Cumacea,Pseudocumatidae,Pseudocuma,Pseudocuma,longicorne,
"Pseudopotamilla reniformis","Su",130963,exact,Pseudopotamilla reniformis,130963,Pseudopotamilla reniformis,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Pseudopotamilla,,reniformis,
"Pycnogonum litorale","Pa",239867,exact,Pycnogonum litorale,239867,Pycnogonum litorale,Animalia,Arthropoda,Pycnogonida,Pantopoda,Pycnogonidae,Pycnogonum,,litorale,
"Pygospio elegans","Om",131170,exact,Pygospio elegans,131170,Pygospio elegans,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pygospio,,elegans,
"Retusa obtusa","CaSc",141134,exact,Retusa obtusa,141134,Retusa obtusa,Animalia,Mollusca,Gastropoda,Cephalaspidea,Retusidae,Retusa,,obtusa,
"Rissoides desmaresti","CaSc",136135,exact,Rissoides desmaresti,136135,Rissoides desmaresti,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae,Rissoides,,desmaresti,
"Ruditapes decussatus","SuDe",231749,exact,Ruditapes decussatus,231749,Ruditapes decussatus,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,,decussatus,
"Sabellaria spinulosa","Su",130867,exact,Sabellaria spinulosa,130867,Sabellaria spinulosa,Animalia,Annelida,Polychaeta,,Sabellariidae,Sabellaria,,spinulosa,
"Scalibregma inflatum","De",130980,exact,Scalibregma inflatum,130980,Scalibregma inflatum,Animalia,Annelida,Polychaeta,,Scalibregmatidae,Scalibregma,,inflatum,
"Schistomysis kervillei","Om",120203,exact,Schistomysis kervillei,120203,Schistomysis kervillei,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Schistomysis,,kervillei,
"Schistomysis ornata","Om",120204,exact,Schistomysis ornata,120204,Schistomysis ornata,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Schistomysis,,ornata,
"Schistomysis spiritus","Om",120206,exact,Schistomysis spiritus,120206,Schistomysis spiritus,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Schistomysis,,spiritus,
"Scolelepis (Scolelepis) foliosa","SuDe",334741,exact,Scolelepis (Scolelepis) foliosa,334741,Scolelepis (Scolelepis) foliosa,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,Scolelepis,foliosa,
